חותמת זמן,איזה סוג ספורט תחרותי/קבוצתי אתה משחק בתדירות הגבוהה ביותר? (ניתן לבחור כמה),גיל,מין,אזור,"באיזו תדירות אתה משחק ספורט תחרותי או קבוצתי (כדורגל, כדורסל, פאדל טניס וכו')?",עד כמה חשוב לך לדעת אם אתה משתפר לאורך זמן?,מה אתה עושה היום כדי לעקוב אחרי הביצועים שלך? (ניתן לבחור כמה),מה הכי חסר לך כשאתה מסיים אימון או משחק מול חברים? (ניתן לבחור כמה),אם הייתה אפליקציה שנותנת לך דירוג אמיתי ובונה לך כרטיס שחקן עם סטטיסטיקות כמה סביר שהיית מתקין אותה?,"אם הייתה אפליקציה כזאת, זה היה מעלה לך את המוטיבציה לעשות ספורט?",באיזו פלטפורמה אתה בעיקר משתמש היום כדי לקבוע משחקים או למצוא שחקנים?,"מה המידע שהכי חסר לך כדי לצאת מהבית לשחק במגרש ציבורי? (לא חובה ניתן לבחור כמה)
","כשמתחשק לך פתאום לצאת לשחק עכשיו, עד כמה קשה לך למצוא שחקנים ברמה שלך?","אם הייתה לך גישה לקלף שחקן דיגיטלי מעוצב שכולל את ציון ה""אוברול"" שלך והסטטיסטיקות, האם היית משתף אותו ברשתות החברתיות (סטורי, וואטסאפ)?","מה ה""פיצ'ר חלומות"" שהיה גורם לך לפתוח אפליקציית ספורט כזו לפני או אחרי כל משחק?","האם היית מוכן לשלם עבור אפליקציה שתספק לך דירוג מדויק מול אחרים וניתוחי AI על הביצועים שלך (pace, shooting לדוגמא)?",עד כמה היית מעוניין להשתמש במערכת שתתעד באופן אוטומטי את תוצאת המשחק וסרטוני ההיילייטס במגרש הציבורי?,דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [דירוג אישי (Overall score)],"דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [סטטיסטיקות ספציפיות (מהירות, מרחק, קליעות, שערים)]",דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [סרטוני היילייטס ],דרג את חשיבות הנתונים הבאים עבורך לאחר משחק: [הכרה חברתית / פרסים]
21/03/2026 20:45:13,פאדל,19-25,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,3,זוכר בראש מי ניצח וכמה הבקעתי,"תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",4,3,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",שעות פעילות מדויקות,2,"כנראה שלא, אני שומר את הנתונים לעצמי",חולשות שלי כשחקן פאדל,הייתי משתמש רק אם זה בחינם,4,חשוב מאוד,חשוב מעט,חשוב מאוד,לא חשוב
21/03/2026 20:48:06,"כדורגל, פאדל",19-25,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,4,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",4,3,קבוצות וואטסאפ של השכונה/החבר'ה,"מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",4,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,4,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מעט
21/03/2026 21:16:03,פאדל,36-45,זכר,חיפה והצפון,1-2 פעמים בשבוע,5,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,3,קבוצות וואטסאפ של השכונה/החבר'ה,"מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",3,אין לי רשתות חברתיות / לא מעלה כלום,,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),5,חשוב מעט,חשוב מאוד,חשוב מאוד,לא חשוב
21/03/2026 22:38:51,פאדל,46+,זכר,אזור השרון,3 פעמים בשבוע או יותר,4,זוכר בראש מי ניצח וכמה הבקעתי,הכרה והערכה על ביצועים טובים,5,3,קבוצות וואטסאפ של השכונה/החבר'ה,"מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",דירוג יכולות,הייתי משתמש רק אם זה בחינם,1,חשוב מאוד,לא חשוב,לא חשוב,לא חשוב
21/03/2026 23:12:22,"כדורגל, פאדל",19-25,זכר,אזור השרון,1-2 פעמים בשבוע,5,"זוכר בראש מי ניצח וכמה הבקעתי, כלום","דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",2,3,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",כמה אנשים נמצאים שם ברגע זה? (רמת עומס),3,אין לי רשתות חברתיות / לא מעלה כלום,,לא הייתי משתמש / לא מעניין אותי,1,לא חשוב,חשוב מעט,חשוב מאוד,לא חשוב
22/03/2026 00:13:33,"פאדל, טניס, טניס שולחן",19-25,נקבה,אזור השרון,3 פעמים בשבוע או יותר,4,זוכר בראש מי ניצח וכמה הבקעתי,"תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו), שום דבר, אני נהנה גם ככה",3,3,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",כמה אנשים נמצאים שם ברגע זה? (רמת עומס),2,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,2,לא חשוב,חשוב מאוד,חשוב מעט,לא חשוב
22/03/2026 00:14:03,פאדל,19-25,זכר,באר שבע והדרום,3 פעמים בשבוע או יותר,5,מעלה סרטונים ותמונות לרשתות החברתיות (אינסטגרם/טיקטוק),"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,4,יורד למגרש ומצטרף לאנשים,"מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",3,תלוי כמה העיצוב יהיה מרשים,,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),5,חשוב מאוד,חשוב מאוד,חשוב מעט,חשוב מעט
22/03/2026 00:18:32,פאדל,26-35,זכר,אזור השרון,1-2 פעמים בשבוע,4,זוכר בראש מי ניצח וכמה הבקעתי,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,1,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),4,אין לי רשתות חברתיות / לא מעלה כלום,,לא הייתי משתמש / לא מעניין אותי,3,חשוב מאוד,חשוב מעט,חשוב מאוד,לא חשוב
22/03/2026 01:42:09,פאדל,46+,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,4,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin), זוכר בראש מי ניצח וכמה הבקעתי","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",3,2,קבוצות וואטסאפ של השכונה/החבר'ה,"מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",3,"כנראה שלא, אני שומר את הנתונים לעצמי",.,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,4,חשוב מעט,חשוב מאוד,חשוב מעט,חשוב מעט
22/03/2026 11:27:25,פאדל,19-25,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,5,זוכר בראש מי ניצח וכמה הבקעתי,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",4,3,קבוצות וואטסאפ של השכונה/החבר'ה,"מצב המגרש(דשא שחוק, רשת קרועה וכולי…)",5,תלוי כמה העיצוב יהיה מרשים,,לא הייתי משתמש / לא מעניין אותי,3,חשוב מאוד,חשוב מאוד,לא חשוב,לא חשוב
23/03/2026 15:32:42,פאדל,19-25,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,5,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin), זוכר בראש מי ניצח וכמה הבקעתי","לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),4,"כנראה שלא, אני שומר את הנתונים לעצמי",סטטיסטיקות והיילייטס,הייתי משתמש רק אם זה בחינם,5,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מעט
02/04/2026 20:06:41,טניס,36-45,זכר,אזור השרון,פעם בכמה שבועות,5,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",5,תלוי כמה העיצוב יהיה מרשים,,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),4,חשוב מאוד,חשוב מאוד,חשוב מעט,חשוב מאוד
02/04/2026 20:07:26,טניס,26-35,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,5,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin), זוכר בראש מי ניצח וכמה הבקעתי","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",3,תלוי כמה העיצוב יהיה מרשים,,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),5,חשוב מעט,חשוב מאוד,חשוב מעט,לא חשוב
02/04/2026 20:08:07,טניס,36-45,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,5,זוכר בראש מי ניצח וכמה הבקעתי,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס)",3,תלוי כמה העיצוב יהיה מרשים,,הייתי משתמש רק אם זה בחינם,3,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מעט
02/04/2026 20:09:34,טניס,26-35,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,5,כלום,"דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,קבוצות פייסבוק,"האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",5,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",שיציעו לי שחקנים ברמה שלי ברמה מדויקת.,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),5,חשוב מאוד,חשוב מאוד,חשוב מעט,חשוב מעט
02/04/2026 20:10:12,טניס,36-45,זכר,תל אביב והמרכז,1-2 פעמים בשבוע,4,כלום,דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין),4,3,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),4,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,4,חשוב מעט,חשוב מאוד,חשוב מעט,חשוב מאוד
02/04/2026 20:14:03,טניס,26-35,זכר,חיפה והצפון,3 פעמים בשבוע או יותר,5,זוכר בראש מי ניצח וכמה הבקעתי,"סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), הכרה והערכה על ביצועים טובים, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",כמה אנשים נמצאים שם ברגע זה? (רמת עומס),3,תלוי כמה העיצוב יהיה מרשים,,הייתי משלם תשלום חד-פעמי על מבדק AI לניתוח נתונים אישיים,4,חשוב מאוד,חשוב מאוד,חשוב מעט,חשוב מעט
02/04/2026 20:15:50,טניס,26-35,זכר,תל אביב והמרכז,3 פעמים בשבוע או יותר,5,זוכר בראש מי ניצח וכמה הבקעתי,סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים),3,3,קבוצות פייסבוק,האם האורות דולקים עכשיו?,3,אין לי רשתות חברתיות / לא מעלה כלום,,הייתי משתמש רק אם זה בחינם,3,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מאוד
02/04/2026 20:18:46,טניס,46+,זכר,באר שבע והדרום,1-2 פעמים בשבוע,5,כלום,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",5,5,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",שעות פעילות מדויקות,4,תלוי כמה העיצוב יהיה מרשים,תוצאות ודרוג,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),5,חשוב מאוד,חשוב מאוד,חשוב מעט,חשוב מעט
02/04/2026 20:20:52,טניס,19-25,זכר,אזור השרון,3 פעמים בשבוע או יותר,5,"משתמש באפליקציות ייעודיות לניהול קבוצות, משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,5,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),2,תלוי כמה העיצוב יהיה מרשים,י,מנוי חודשי עבור אנליטיקה ושיפור ביצועים (AI),4,חשוב מאוד,חשוב מאוד,חשוב מאוד,חשוב מאוד
02/04/2026 20:28:12,טניס,36-45,זכר,אזור השרון,1-2 פעמים בשבוע,4,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו), שום דבר, אני נהנה גם ככה",5,4,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים",,4,"כנראה שלא, אני שומר את הנתונים לעצמי",,הייתי משתמש רק אם זה בחינם,2,חשוב מאוד,חשוב מאוד,חשוב מעט,לא חשוב
02/04/2026 20:28:31,טניס,46+,נקבה,תל אביב והמרכז,1-2 פעמים בשבוע,3,"משתמש בשעון חכם / אפליקציות כושר (Strava, Garmin)","סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), סרטוני ""היילייטס"" של המהלכים הטובים שלי למזכרת, דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין)",4,4,קבוצות וואטסאפ של השכונה/החבר'ה,כמה אנשים נמצאים שם ברגע זה? (רמת עומס),3,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,3,חשוב מעט,חשוב מאוד,חשוב מעט,לא חשוב
02/04/2026 20:29:38,טניס,26-35,זכר,חיפה והצפון,1-2 פעמים בשבוע,5,כלום,"לדעת מה הדירוג האמיתי שלי בהשוואה לשחקנים אחרים בעיר/בשכונה, סטטיסטיקות מדויקות על הביצועים שלי (נתונים יבשים), דרך למצוא שחקנים ברמה שלי (כדי שהמשחק יהיה מאוזן ומעניין), תחושה של התקדמות ב""רמה"" הכללית שלי (כמו במשחק וידאו)",5,3,"משחק רק עם חברים קרובים, לא מחפש שחקנים חדשים","האם האורות דולקים עכשיו?, כמה אנשים נמצאים שם ברגע זה? (רמת עומס), מצב המגרש(דשא שחוק, רשת קרועה וכולי…), שעות פעילות מדויקות",5,"בטוח שכן, אשמח להשוויץ בתוצאות טובות",,הייתי משתמש רק אם זה בחינם,1,חשוב מאוד,חשוב מעט,חשוב מעט,חשוב מעט
